YearsWithThisDatabase,SalaryUSD
24,425000
10,400000
10,400000
12,350000
20,320000
20,320000
21,300000
25,275000
16,265000
24,264000
21,260000
22,240000
24,240000
6,230000
15,225000
26,220000
15,220000
12,220000
23,215000
21,210000
25,209000
16,208000
17,200000
24,200000
20,200000
10,200000
15,200000
20,200000
15,200000
20,199000
20,195000
25,195000
13,195000
15,190000
20,186000
15,185000
20,185000
20,185000
18,185000
20,180000
20,180000
20,180000
20,180000
10,180000
30,179800
20,179000
12,177400
10,175000
20,171000
20,170000
23,170000
3,170000
15,168000
22,168000
9,167000
20,167000
20,165000
26,165000
15,165000
15,165000
20,165000
20,164000
12,163000
16,162788
20,162000
19,162000
22,162000
11,160000
18,160000
15,160000
12,160000
20,160000
17,160000
7,160000
12,160000
7,160000
31,158566
19,158000
20,156000
15,156000
8,155000
10,155000
10,155000
15,155000
20,155000
15,155000
22,153300
20,153000
14,153000
10,153000
10,151000
11,150000
12,150000
20,150000
8,150000
14,150000
25,150000
9,150000
19,150000
20,150000
15,150000
8,150000
10,150000
15,150000
25,150000
6,150000
18,150000
22,150000
16,150000
24,150000
20,150000
15,150000
16,149000
12,149000
8,148000
19,147200
14,145600
19,145500
20,145000
10,145000
26,145000
12,145000
20,145000
18,145000
10,145000
20,145000
19,145000
19,145000
15,145000
19,145000
14,145000
25,145000
18,145000
20,145000
8,145000
13,145000
8,144760
4,144000
15,144000
21,144000
15,143000
20,143000
20,143000
20,142500
9,142500
29,142500
15,142000
20,141750
8,141000
22,141000
11,141000
13,140000
20,140000
17,140000
17,140000
17,140000
20,140000
13,140000
5,140000
20,140000
8,140000
5,140000
15,140000
15,140000
20,140000
20,140000
16,140000
25,140000
10,140000
25,140000
13,140000
18,140000
11,140000
10,139000
22,139000
10,139000
8,139000
11,138500
23,138000
18,138000
15,137900
15,137500
10,137500
20,137000
10,137000
18,137000
20,137000
4,136500
16,135000
9,135000
20,135000
13,135000
10,135000
2,135000
11,135000
10,135000
20,135000
11,135000
19,135000
12,135000
15,135000
25,135000
19,135000
19,135000
15,135000
20,135000
13,135000
20,135000
13,135000
7,135000
18,135000
13,135000
